bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
1030,Kimberley Coastal Camp,-14.5786,125.9133,WA,"rain gauge;",data,King Edward River,Bureau of Meteorology,2024/10/10 00:00:00,8038
1031,Faraway Bay,-13.96,127.1964,WA,"rain gauge;",data,Drysdale River,Private owner,2024/10/10 00:00:00,8039
1035,Parry Creek Farm,-15.5972,128.2783,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8040
2009,Gibb River,-16.4202,126.4412,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8041
2012,Halls Creek Meteorological Office,-18.2291,127.6636,WA,"rain gauge;",data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8042
2013,Ivanhoe Station,-15.69,128.6833,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8043
2016,Lissadell,-16.6742,128.5533,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8044
2019,Margaret River Station,-18.6253,126.8617,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8045
2020,Moola Bulla,-18.1894,127.5011,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8046
2021,Mount Amhurst,-18.3869,126.9892,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8047
2022,Mount Winifred,-18.016,126.3033,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8048
2026,Ruby Plains,-18.5959,127.642,WA,"rain gauge;",data,Mackay,Private owner,2024/10/10 00:00:00,8049
2028,Spring Creek,-16.818,128.8656,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8050
2029,Sturt Creek,-19.1625,128.1633,WA,"rain gauge;",data,Mackay,Private owner,2024/10/10 00:00:00,8051
2030,Yulmbu,-17.2986,126.9158,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8052
2032,Warmun,-17.0154,128.2174,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8053
2036,Old Mornington Homestead,-17.3922,126.2306,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8054
2043,Mount Krauss,-18.3368,126.1243,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8055
2044,Lake Argyle Resort,-16.1119,128.7414,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8056
2048,Flora Valley,-18.2972,128.4419,WA,"rain gauge;",data,Mackay,Private owner,2024/10/10 00:00:00,8057
2049,Sophie Downs,-18.1947,127.8147,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8058
2050,Springvale,-17.7842,127.6853,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8059
2051,Billiluna,-19.5557,127.6661,WA,"rain gauge;",data,Mackay,Private owner,2024/10/10 00:00:00,8060
2053,Lansdowne,-17.6133,126.7442,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8061
2056,Kununurra Aero,-15.7814,128.71,WA,"rain gauge;",data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8062
2060,Kingston Rest,-16.0397,128.415,WA,"rain gauge;",data,Ord River,Private owner,2024/10/10 00:00:00,8063
2064,Argyle Aerodrome,-16.638,128.4516,WA,"rain gauge;",data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8064
2067,Kununurra Checkpoint,-15.9816,128.9991,WA,"rain gauge;",data,Keep River,Private owner,2024/10/10 00:00:00,8065
2068,Marion Downs,-17.0716,126.8494,WA,"rain gauge;",data,Pentecost River,Bureau of Meteorology,2024/10/10 00:00:00,8066
2069,Kachana,-16.4433,127.7836,WA,"rain gauge;",data,Pentecost River,Private owner,2024/10/10 00:00:00,8067
2072,Bedford Downs Airstrip,-17.2797,127.4648,WA,"rain gauge;",data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8068
2073,Margaret River Airstrip,-18.6217,126.8831,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8069
2074,Moola Bulla Airstrip,-18.1958,127.4948,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8070
2076,Mornington,-17.5115,126.1095,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8071
2077,Siddins Creek,-16.9203,126.5511,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8072
2078,Larrawa Airfield,-18.8318,126.5301,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8073
3000,Beagle Bay,-16.9807,122.6662,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8074
3001,Country Downs,-17.2767,122.5711,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8075
3003,Broome Airport,-17.9475,122.2352,WA,"rain gauge;",data,Cape Leveque Coast,Bureau of Meteorology,2024/10/10 00:00:00,8076
3004,Cape Leveque,-16.3961,122.9278,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8077
3008,Ellendale,-17.9281,124.8108,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8078
3009,Jubilee Downs,-18.3547,125.3033,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8079
3010,Kimberley Downs,-17.3927,124.3574,WA,"rain gauge;",data,Lennard River,Private owner,2024/10/10 00:00:00,8080
3017,Mount House Station,-17.0516,125.7051,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8081
3018,Myroodah,-18.1225,124.2692,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8082
