bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid,URL
1030,Kimberley Coastal Camp,-14.5786,125.9133,wa,rain gauge;,data,King Edward River,Bureau of Meteorology,2024/10/10 00:00:00,8038,
1031,Faraway Bay,-13.96,127.1964,wa,rain gauge;,data,Drysdale River,Private owner,2024/10/10 00:00:00,8039,
1035,Parry Creek Farm,-15.5972,128.2783,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8040,
2009,Gibb River,-16.4202,126.4412,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8041,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2012,Halls Creek Meteorological Office,-18.2291,127.6636,wa,rain gauge;,data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8042,
2013,Ivanhoe Station,-15.69,128.6833,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8043,
2016,Lissadell,-16.6742,128.5533,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8044,
2019,Margaret River Station,-18.6253,126.8617,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8045,
2020,Moola Bulla,-18.1894,127.5011,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8046,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2021,Mount Amhurst,-18.3869,126.9892,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8047,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2022,Mount Winifred,-18.016,126.3033,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8048,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2026,Ruby Plains,-18.5959,127.642,wa,rain gauge;,data,Mackay,Private owner,2024/10/10 00:00:00,8049,
2028,Spring Creek,-16.818,128.8656,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8050,
2029,Sturt Creek,-19.1625,128.1633,wa,rain gauge;,data,Mackay,Private owner,2024/10/10 00:00:00,8051,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60153.html
2030,Yulmbu,-17.2986,126.9158,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8052,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2032,Warmun,-17.0154,128.2174,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8053,
2036,Old Mornington Homestead,-17.3922,126.2306,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8054,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2043,Mount Krauss,-18.3368,126.1243,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8055,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2044,Lake Argyle Resort,-16.1119,128.7414,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8056,
2048,Flora Valley,-18.2972,128.4419,wa,rain gauge;,data,Mackay,Private owner,2024/10/10 00:00:00,8057,
2049,Sophie Downs,-18.1947,127.8147,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8058,
2050,Springvale,-17.7842,127.6853,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8059,
2051,Billiluna,-19.5557,127.6661,wa,rain gauge;,data,Mackay,Private owner,2024/10/10 00:00:00,8060,
2053,Lansdowne,-17.6133,126.7442,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8061,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2056,Kununurra Aero,-15.7814,128.71,wa,rain gauge;,data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8062,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2060,Kingston Rest,-16.0397,128.415,wa,rain gauge;,data,Ord River,Private owner,2024/10/10 00:00:00,8063,
2064,Argyle Aerodrome,-16.638,128.4516,wa,rain gauge;,data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8064,
2067,Kununurra Checkpoint,-15.9816,128.9991,wa,rain gauge;,data,Keep River,Private owner,2024/10/10 00:00:00,8065,
2068,Marion Downs,-17.0716,126.8494,wa,rain gauge;,data,Pentecost River,Bureau of Meteorology,2024/10/10 00:00:00,8066,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2069,Kachana,-16.4433,127.7836,wa,rain gauge;,data,Pentecost River,Private owner,2024/10/10 00:00:00,8067,
2072,Bedford Downs Airstrip,-17.2797,127.4648,wa,rain gauge;,data,Ord River,Bureau of Meteorology,2024/10/10 00:00:00,8068,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2073,Margaret River Airstrip,-18.6217,126.8831,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8069,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2074,Moola Bulla Airstrip,-18.1958,127.4948,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8070,
2076,Mornington,-17.5115,126.1095,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8071,
2077,Siddins Creek,-16.9203,126.5511,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8072,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
2078,Larrawa Airfield,-18.8318,126.5301,wa,rain gauge;,data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8073,
3000,Beagle Bay,-16.9807,122.6662,wa,rain gauge;,data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8074,
3001,Country Downs,-17.2767,122.5711,wa,rain gauge;,data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8075,
