State,River Basin,Interval,URL
qld,"Gold Coast streams, Nerang, Coomera, Pimpama Logan-Albert",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60335.html
qld,"Brisbane, Bremer, Ipswich Cks, Brisbane Cks, Pine, Caboolture",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60336.html
qld,"Coochin Ck, Mooloolah, Maroochy, Noosa, Mary",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60337.html
qld,"Burrum, Cherwell, Burnett, Kolan",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60338.html
qld,"Baffle, Boyne, Calliope, Dawson, Mackenzie, Fitzroy",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60339.html
qld,"Pioneer, Proserpine, Don, Burdekin, Haughton, Ross, Bohle, Black",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60340.html
qld,"Herbert, Tully, Johnstone, Mulgrave-Russell, Barron, Daintree",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60341.html
qld,"Macintyre, Dumaresq, Weir, Moonie",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
qld,"Condamine, Balonne, Maranoa, Wallam, Mungallala",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
qld,"Warrego, Paroo, Bulloo",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
qld,"Thomson, Barcoo, Cooper, Diamantina, Georgina",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60345.html
qld,Gulf and Cape Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60346.html
nsw,"Tweed, Brunswick, Richmond Wilsons, Clarence",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60152.html
nsw,"Bellinger, Nambucca, Macleay, Hastings, Manning, Hunter",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60153.html
nsw,"Wyong, Nepean-Hawkesbury, Georges, Parramatta",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60154.html
nsw,Sydney Basin,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60159.html
nsw,"Shoalhaven, Moruya, Clyde, Tuross, Bega, Pambula, Snowy",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60155.html
nsw,"Macintyre, Gwydir, Namoi, Peel, Casltereagh",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60156.html
nsw,"Macquarie, Bogan, Lachlan",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60157.html
nsw,"Queanbeyan-Molonglo, Cooma, Murrumbidgee, Murray",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60158.html
nsw,"Culgoa, Warrego, Paroo, Barwon, Darling",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60176.html
sa,"Onkaparinga, Southern creeks",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60152.html
sa,"Torrens, Port Adelaide, Patawolonga",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60153.html
sa,"North Para, South Para, Gawler",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60154.html
sa,"Angas, Bremer",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60167.html
sa,"Light, Wakefield",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60185.html
sa,Murray,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60191.html
sa,"Mid North, Flinders, Far North",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDS60155.html
vic,"Mitchell, Tambo, Snowy, Cann, Genoa",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60163.html
vic,"Latrobe, Thomson, Macalister, Avon, South Gippsland",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60162.html
vic,"Werribee, Maribyrnong, Yarra, Dandenong, Bunyip",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60161.html
vic,"Barwon, Moorabool, Leigh, Hovells Creek, Corangamite, Otway Coast",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60160.html
vic,"Glenelg, Wannon, Portland Coast, Hopkins",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60159.html
vic,"Wimmera, Murray - Mallee",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60155.html
vic,"Campaspe, Loddon, Avoca",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60156.html
vic,"Goulburn, Broken",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60157.html
vic,"Upper Murray, Mitta Mitta, Kiewa, Ovens and King",1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDV60158.html
nt,Bonaparte Coastal Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDD60172.html
nt,NorthWest Coastal Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDD60169.html
nt,Arnhem Coastal Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDD60170.html
nt,Carpentaria Coastal Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDD60171.html
nt,Inland Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDD60173.html
tas,North Western Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDT60171.html
tas,Northern Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDT60172.html
tas,Southern Rivers,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDT60173.html
wa,Kimberley,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60200.html
wa,Pilbara,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60202.html
wa,Gascoyne - Murchison,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60203.html
wa,Mid West,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60204.html
wa,Avon - Swan,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60207.html
wa,Mandurah to Ludlow,1hr,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDW60205.html
