OBJECTID,LOCATION_NAME,LOCATION_ID,DATA_AVAILABLE_BETWEEN,LATITUDE,LONGITUDE,DEPTH,README,DOWNLOAD_METADATA,LIVE_WAVE,DOWNLOAD_DATA,LICENCE,PRODUCTION_DATE,STATUS,LIVEGIF_DIRPRD,LIVEGIF_DIR,LIVEGIF_HS
1,Bremer Bay 01,BRE34,22/05/1992 and 12/12/1993,-34.425819  (GDA2020),119.396954  (GDA2020),6m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/BRE34_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/BRE34_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
2,Denison 03,DEN05,29/10/1975 and 02/12/1976,-29.274987  (GDA2020),114.914178  (GDA2020),8m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/DEN05_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
3,Dawesville 01,DAW22,17/04/1985 and 21/10/1986,-32.59832  (GDA2020),115.550844  (GDA2020),25m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/DAW22_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/DAW22_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
4,Rottnest Island 02,RDW47,14/09/2004 and 31/12/2023,-32.098587  (GDA2020),115.408194 (GDA2020),48m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/RDW47_Metadata.zip,http://www.transport.wa.gov.au/imarine/rottnest-island-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/RDW47_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/RDW_POLD.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/RDW_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/RDW_Wave.gif
5,Oakagee 01,OAK12,12/03/1980 and 23/09/1981,-28.591098  (GDA2020),114.565844  (GDA2020),15m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/OAK12_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
6,Exmouth,EXM52,"04/10/2006 and 31/12/2011",-21.699431  (GDA2020),114.098621  (GDA2020),54m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/EXM52_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/EXM52_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
7,Bremer Bay 02,BRE35,22/05/1992 and 09/03/1993,-34.423875  (GDA2020),119.405843  (GDA2020),20m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/BRE35_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/BRE35_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
8,Mandurah,MAN54,"03/07/2014 and 31/12/2023",-32.451687  (GDA2020),115.570994 (GDA2020),30m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/MAN54_Metadata.zip,http://www.transport.wa.gov.au/imarine/mandurah-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/MAN54_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/MDW_POLD.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/mdw_wdir.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/mdw_Wave.gif
9,Mullaloo,MUL09,26/05/1977 and 03/03/1978,-31.762209  (GDA2020),115.7239  (GDA2020),7m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/MUL09_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
10,Tantabiddi,TDW55,26/07/2019 and 31/12/2021,-21.892903  (GDA2020),113.929427  (GDA2020),47m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3.ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/TDW55_Metadata.zip,,https://s3.ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/TDW55_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
