DataType,Name,Longitude,Latitude,URL,Owner,State,Country,Notes
Ocean Buoy (NDBC),"SD 1073 - 24 NM SSW of San Francisco, CA (Site of 46012) (1801589)",-122.89,37.31,https://www.ndbc.noaa.gov/station_page.php?station=1801589,NOAA,,,
Ocean Buoy (NDBC),"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP (21413)",152.123,30.514,https://www.ndbc.noaa.gov/station_page.php?station=21413,NOAA,,,
Ocean Buoy (NDBC),"AMCHITKA - 170 NM South of Amchitka, AK (21414)",178.237,48.963,https://www.ndbc.noaa.gov/station_page.php?station=21414,NOAA,,,
Ocean Buoy (NDBC),"ATTU - 175 NM South of Attu, AK (21415)",171.897,50.153,https://www.ndbc.noaa.gov/station_page.php?station=21415,NOAA,,,
Ocean Buoy (NDBC),"KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU (21416)",163.43,48.12,https://www.ndbc.noaa.gov/station_page.php?station=21416,NOAA,,,
Ocean Buoy (NDBC),290NM SE of the Kuril Islands (21417),157.142,43.192,https://www.ndbc.noaa.gov/station_page.php?station=21417,NOAA,,,
Ocean Buoy (NDBC),"NORTHEAST TOKYO - 450 NM NE of Tokyo, JP (21418)",148.847,38.716,https://www.ndbc.noaa.gov/station_page.php?station=21418,NOAA,,,
Ocean Buoy (NDBC),KURIL ISLANDS - 209NM SE of Kuril Is. (21419),155.653,44.401,https://www.ndbc.noaa.gov/station_page.php?station=21419,NOAA,,,
Ocean Buoy (NDBC),SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki (21420),134.999,28.91,https://www.ndbc.noaa.gov/station_page.php?station=21420,NOAA,,,
Ocean Buoy (NDBC),-32301,-105.2,-9.9,https://www.ndbc.noaa.gov/station_page.php?station=32301,NOAA,,,
Ocean Buoy (NDBC),-32302,-85.1,-18,https://www.ndbc.noaa.gov/station_page.php?station=32302,NOAA,,,
Ocean Buoy (NDBC),"WEST PANAMA - 710 NM WSW of Panama City, Panama (32411)",-90.79,4.973,https://www.ndbc.noaa.gov/station_page.php?station=32411,NOAA,,,
Ocean Buoy (NDBC),"SOUTHWEST LIMA - 645 NM SW of Lima, Peru (32412)",-86.374,-17.984,https://www.ndbc.noaa.gov/station_page.php?station=32412,NOAA,,,
Ocean Buoy (NDBC),"NORTHWEST LIMA - 1000 NM WNW of Lima, Peru (32413)",-93.442,-7.435,https://www.ndbc.noaa.gov/station_page.php?station=32413,NOAA,,,
Ocean Buoy (NDBC),"SOUTHWEST LIMA 645NM SW of Lima, Peru (32D12)",-86.33,-17.98,https://www.ndbc.noaa.gov/station_page.php?station=32D12,NOAA,,,
Ocean Buoy (NDBC),ADRIFT BUOY FROM 32413 (32D13),-93.48,-7.43,https://www.ndbc.noaa.gov/station_page.php?station=32D13,NOAA,,,
Ocean Buoy (NDBC),EAST HATTERAS - 150 NM East of Cape Hatteras (41001),-72.242,34.703,https://www.ndbc.noaa.gov/station_page.php?station=41001,NOAA,,,
Ocean Buoy (NDBC),SOUTH HATTERAS - 225 NM South of Cape Hatteras (41002),-74.936,31.759,https://www.ndbc.noaa.gov/station_page.php?station=41002,NOAA,,,
Ocean Buoy (NDBC),-41003,-80.1,30.4,https://www.ndbc.noaa.gov/station_page.php?station=41003,NOAA,,,
Ocean Buoy (NDBC),"EDISTO - 41 NM Southeast of Charleston, SC (41004)",-79.099,32.502,https://www.ndbc.noaa.gov/station_page.php?station=41004,NOAA,,,
Ocean Buoy (NDBC),-41005,-79.7,31.7,https://www.ndbc.noaa.gov/station_page.php?station=41005,NOAA,,,
Ocean Buoy (NDBC),-41006,-77.4,29.3,https://www.ndbc.noaa.gov/station_page.php?station=41006,NOAA,,,
Ocean Buoy (NDBC),-41007,-76.5,34.2,https://www.ndbc.noaa.gov/station_page.php?station=41007,NOAA,,,
Ocean Buoy (NDBC),"GRAYS REEF - 40 NM Southeast of Savannah, GA (41008)",-80.866,31.4,https://www.ndbc.noaa.gov/station_page.php?station=41008,NOAA,,,
Ocean Buoy (NDBC),"CANAVERAL 20 NM East of Cape Canaveral, FL (41009)",-80.185,28.508,https://www.ndbc.noaa.gov/station_page.php?station=41009,NOAA,,,
Ocean Buoy (NDBC),CANAVERAL EAST - 120NM East of Cape Canaveral (41010),-78.485,28.878,https://www.ndbc.noaa.gov/station_page.php?station=41010,NOAA,,,
Ocean Buoy (NDBC),-41011,-80.1,28.2,https://www.ndbc.noaa.gov/station_page.php?station=41011,NOAA,,,
Ocean Buoy (NDBC),"St. Augustine, FL 40NM ENE of St Augustine, FL (41012)",-80.534,30.042,https://www.ndbc.noaa.gov/station_page.php?station=41012,NOAA,,,
