Date/TimeEST,Temp°C,AppTemp°C,DewPoint°C,RelHum%,Delta-T°C,Dir,Spdkm/h,Gustkm/h,Spdkts,Gustkts,PressQNHhPa,PressMSLhPa,Rain since9ammm
16/09:30am,8.5,-4.5,7.1,91,0.7,NW,65,78,35,42,1016.4,1016.4,0.0
16/09:00am,8.5,-4.5,7.0,90,0.7,NW,65,83,35,45,1016.5,1016.5,1.2
16/08:30am,8.6,-5.2,6.9,89,0.8,NW,69,87,37,47,1016.6,1016.6,1.0
16/08:28am,8.5,-5.4,6.6,88,0.9,NW,69,87,37,47,1016.6,1016.6,1.0
16/08:00am,8.6,-5.3,6.6,87,0.9,NW,69,82,37,44,1016.6,1016.6,1.0
16/07:30am,8.6,-5.5,6.6,87,0.9,NW,70,91,38,49,1017.0,1017.0,1.0
16/07:29am,8.6,-5.5,6.6,87,0.9,NW,70,91,38,49,1017.0,1017.0,1.0
16/07:00am,8.6,-5.5,6.4,86,1.0,NW,70,87,38,47,1017.1,1017.1,1.0
16/06:40am,8.5,-5.6,6.3,86,1.0,NW,70,89,38,48,1017.0,1017.0,1.0
16/06:30am,8.5,-6.0,6.3,86,1.0,NW,72,89,39,48,1017.1,1017.1,1.0
16/06:16am,8.5,-5.6,6.3,86,1.0,NW,70,91,38,49,1017.0,1017.0,1.0
16/06:00am,8.4,-6.5,6.2,86,1.0,NW,74,89,40,48,1017.4,1017.4,1.0
16/05:30am,8.3,-5.7,6.3,87,0.9,NW,69,87,37,47,1017.8,1017.8,1.0
16/05:00am,8.3,-6.2,6.3,87,0.9,NW,72,91,39,49,1018.0,1018.0,1.0
16/04:57am,8.3,-6.2,6.3,87,0.9,NW,72,91,39,49,1017.9,1017.9,1.0
16/04:30am,8.1,-6.5,6.2,88,0.9,NW,72,83,39,45,1018.4,1018.4,1.0
16/04:00am,8.0,-6.0,6.1,88,0.9,NW,69,87,37,47,1018.8,1018.8,0.8
16/03:30am,8.0,-6.0,6.0,87,0.9,NW,69,83,37,45,1018.9,1018.9,0.8
16/03:00am,8.0,-6.1,5.6,85,1.1,NW,69,82,37,44,1019.4,1019.4,0.8
16/02:30am,8.0,-6.1,5.5,84,1.1,NW,69,87,37,47,1019.8,1019.8,0.8
16/02:17am,8.0,-6.1,5.5,84,1.1,NW,69,87,37,47,1020.0,1020.0,0.8
16/02:00am,8.1,-6.0,5.4,83,1.2,NW,69,83,37,45,1020.2,1020.2,0.8
16/01:30am,8.1,-6.0,5.4,83,1.2,NW,69,83,37,45,1020.8,1020.8,0.8
16/01:00am,8.1,-4.9,5.4,83,1.2,NW,63,78,34,42,1021.4,1021.4,0.8
16/12:30am,8.0,-4.7,5.3,83,1.2,NW,61,72,33,39,1021.9,1021.9,0.8
16/12:03am,7.9,-4.8,5.0,82,1.3,NW,61,80,33,43,1022.2,1022.2,0.8
16/12:00am,7.9,-4.4,5.0,82,1.3,NW,59,72,32,39,1022.3,1022.3,0.8
,,,,,,,,,,,,,
