Collated data - Last updated: 2025-11-09 21:32:28
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1760450400,2025-10-15T00:00:00,-26.84626,153.15568,0.845,1.4,8.33,4.598,23.5,78.8,-99.9,-99.9
Bilinga,4224,1760450400,2025-10-15T00:00:00,-28.14275,153.5136,0.91,1.42,9.09,4.85,20.85,77.28,0.06,88.97
Skardon River Outer,4894,1760450400,2025-10-15T00:00:00,-11.7474,141.83398,0.36,0.59,2.35,2.08,28.04,120.48,0.27,235.52
Tweed Offshore,2487,1760450400,2025-10-15T00:00:00,-28.21269,153.68024,1.92,3.76,11.11,5.98,21.65,148.64,0.71,143.12
Gold Coast Mk4,4217,1760450400,2025-10-15T00:00:00,-27.96497,153.43887,1.27,1.96,11.11,6.11,20.68,117.9,0.07,100.84
Brisbane Mk4,4183,1760450400,2025-10-15T00:00:00,-27.49239,153.6346,1.9,3.11,10.53,7.22,22.99,159.61,0.5,166.33
Palm Beach Mk4,4221,1760450400,2025-10-15T00:00:00,-28.10025,153.4862,1.03,1.57,11.11,5.12,20.85,105.86,0.11,90.9
Cairns Mk4,4870,1760450400,2025-10-15T00:00:00,-16.7326,145.71114,0.6,1.35,3.51,2.86,27.13,94.25,0.09,295.74
Mackay Mk4,4740,1760450400,2025-10-15T00:00:00,-21.03525,149.54883,0.86,1.5,4.76,3.49,25.38,107.5,0.11,48.44
North Moreton Bay,52,1760450400,2025-10-15T00:00:00,-26.90039,153.28082,0.795,1.35,6.67,4.545,23.0,91.4,-99.9,-99.9
Wide Bay,4581,1760450400,2025-10-15T00:00:00,-25.76055,153.20432,1.138,2.03,9.09,5.0,23.05,119.5,-99.9,-99.9
Albatross Bay,59,1760450400,2025-10-15T00:00:00,-12.68716,141.68471,0.21,0.43,2.38,2.26,28.7,67.5,-99.9,-99.9
Townsville,10,1760450400,2025-10-15T00:00:00,-19.1752,147.07477,0.816,1.33,4.55,3.509,26.9,86.06,-99.9,-99.9
Emu Park,96,1760450400,2025-10-15T00:00:00,-23.30289,151.06875,0.848,1.66,4.55,3.636,24.6,96.34,-99.9,-99.9
Gladstone,60,1760450400,2025-10-15T00:00:00,-23.89555,151.50288,0.764,1.5,4.76,3.704,25.55,88.2,-99.9,-99.9
Tweed Heads Mk4,4225,1760450400,2025-10-15T00:00:00,-28.17837,153.57647,1.34,2.13,11.11,5.68,20.77,132.47,0.18,137.41
Hay Point TriAxys,4740tx,1760450400,2025-10-15T00:00:00,-21.2777,149.3225,0.67,1.07,4.7,3.2,26.7,79.25,-99.9,-99.9
Mooloolaba,4,1760450400,2025-10-15T00:00:00,-26.56612,153.18141,1.099,2.0,11.76,5.479,22.4,125.2,-99.9,-99.9
Hay Point TriAxys,4740tx,1760451600,2025-10-15T00:20:00,-21.2778,149.3225,0.65,1.2,4.5,3.2,26.7,89.25,-99.9,-99.9
Caloundra,54,1760452200,2025-10-15T00:30:00,-26.84628,153.15564,0.835,1.4,9.09,4.819,23.5,78.8,-99.9,-99.9
Mooloolaba,4,1760452200,2025-10-15T00:30:00,-26.56612,153.18134,1.079,2.14,12.5,5.479,22.4,116.7,-99.9,-99.9
