Wave Data provided @ 10:11hrs on 19-05-2026
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1778508000,2026-05-12T00:00:00,-26.84625,153.15570,1.219,1.890,12.500,4.938,22.20,97.00,-99.90,-99.90
Caloundra,54,1778509800,2026-05-12T00:30:00,-26.84628,153.15562,1.194,1.720,13.330,5.128,22.20,98.40,-99.90,-99.90
Caloundra,54,1778511600,2026-05-12T01:00:00,-26.84633,153.15553,1.000,1.680,14.290,5.333,22.20,99.80,-99.90,-99.90
Caloundra,54,1778513400,2026-05-12T01:30:00,-26.84650,153.15540,1.123,1.910,13.330,5.128,22.25,105.50,-99.90,-99.90
Caloundra,54,1778515200,2026-05-12T02:00:00,-26.84668,153.15538,1.083,2.130,12.500,5.263,22.25,95.60,-99.90,-99.90
Caloundra,54,1778517000,2026-05-12T02:30:00,-26.84681,153.15538,1.082,1.970,14.290,5.195,22.20,95.60,-99.90,-99.90
Caloundra,54,1778518800,2026-05-12T03:00:00,-26.84691,153.15542,1.152,2.080,13.330,5.128,22.30,92.80,-99.90,-99.90
Caloundra,54,1778520600,2026-05-12T03:30:00,-26.84692,153.15542,1.185,1.850,13.330,4.938,22.40,98.40,-99.90,-99.90
Caloundra,54,1778522400,2026-05-12T04:00:00,-26.84686,153.15540,1.231,2.040,13.330,5.000,22.55,88.60,-99.90,-99.90
Caloundra,54,1778524200,2026-05-12T04:30:00,-26.84685,153.15540,1.364,2.080,14.290,4.938,22.65,98.40,-99.90,-99.90
Caloundra,54,1778526000,2026-05-12T05:00:00,-26.84679,153.15536,1.222,2.060,12.500,5.405,22.65,81.60,-99.90,-99.90
Caloundra,54,1778527800,2026-05-12T05:30:00,-26.84656,153.15534,1.287,1.910,13.330,5.479,22.70,84.40,-99.90,-99.90
Caloundra,54,1778529600,2026-05-12T06:00:00,-26.84633,153.15553,1.268,1.920,12.500,5.128,22.65,87.20,-99.90,-99.90
