Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Gold Coast Mk4,4217,1760450400,2025-10-15 00:00:00,-27.96497,153.43887,1.27,1.96,11.11,6.11,20.68,117.9,0.07,100.84
Gold Coast Mk4,4217,1760452200,2025-10-15 00:30:00,-27.96489,153.43884,1.21,1.93,10.53,5.99,20.77,120.98,0.05,21.54
Gold Coast Mk4,4217,1760454000,2025-10-15 01:00:00,-27.96486,153.43882,1.22,2.09,11.11,5.94,20.81,120.27,0.04,51.16
Gold Coast Mk4,4217,1760455800,2025-10-15 01:30:00,-27.96483,153.43882,1.22,1.97,11.11,6.09,20.72,118.95,0.02,65.85
Gold Coast Mk4,4217,1760457600,2025-10-15 02:00:00,-27.96482,153.4388,1.09,1.71,10.0,5.68,20.72,119.57,0.05,264.44
Gold Coast Mk4,4217,1760459400,2025-10-15 02:30:00,-27.96475,153.43878,1.19,1.78,10.53,6.17,20.72,119.66,0.05,71.38
Gold Coast Mk4,4217,1760461200,2025-10-15 03:00:00,-27.96473,153.43876,1.21,1.84,10.53,6.06,20.64,116.58,0.01,124.22
Gold Coast Mk4,4217,1760463000,2025-10-15 03:30:00,-27.96471,153.43878,1.16,2.14,11.11,5.79,20.5,118.34,0.03,109.1
Gold Coast Mk4,4217,1760464800,2025-10-15 04:00:00,-27.96468,153.43878,1.23,2.1,10.53,6.01,20.37,115.17,0.03,63.38
Gold Coast Mk4,4217,1760466600,2025-10-15 04:30:00,-27.96465,153.43878,1.17,1.96,10.0,5.93,20.37,116.14,0.03,34.11
Gold Coast Mk4,4217,1760468400,2025-10-15 05:00:00,-27.96467,153.43878,1.12,1.77,10.53,5.85,20.33,117.2,0.01,244.22
Gold Coast Mk4,4217,1760470200,2025-10-15 05:30:00,-27.96467,153.43876,1.26,2.18,10.0,6.04,20.33,117.55,0.01,138.99
Gold Coast Mk4,4217,1760472000,2025-10-15 06:00:00,-27.96467,153.43878,1.15,1.77,10.0,6.19,20.33,114.65,0.01,303.82
Gold Coast Mk4,4217,1760473800,2025-10-15 06:30:00,-27.96465,153.43876,1.23,2.31,10.53,5.99,20.37,116.23,0.06,317.98
Gold Coast Mk4,4217,1760475600,2025-10-15 07:00:00,-27.96465,153.43876,1.16,1.89,10.0,6.2,20.37,116.23,0.04,251.78
Gold Coast Mk4,4217,1760477400,2025-10-15 07:30:00,-27.96464,153.43876,1.14,1.8,10.53,6.08,20.46,116.58,0.01,275.25
Gold Coast Mk4,4217,1760479200,2025-10-15 08:00:00,-27.96462,153.43878,1.12,1.79,11.11,6.0,20.55,116.84,0.04,295.56
Gold Coast Mk4,4217,1760481000,2025-10-15 08:30:00,-27.96459,153.43876,1.13,1.9,11.11,6.07,20.68,116.14,0.04,258.02
Gold Coast Mk4,4217,1760482800,2025-10-15 09:00:00,-27.96462,153.43878,1.06,1.55,11.11,5.81,20.94,116.23,0.04,161.67
Gold Coast Mk4,4217,1760484600,2025-10-15 09:30:00,-27.96462,153.43876,1.05,1.63,10.53,5.66,20.9,120.36,0.02,228.57
Gold Coast Mk4,4217,1760486400,2025-10-15 10:00:00,-27.96465,153.43876,0.95,1.52,10.53,5.09,21.12,116.76,0.03,229.19
Gold Coast Mk4,4217,1760488200,2025-10-15 10:30:00,-27.96468,153.43876,1.0,1.65,9.09,4.96,20.99,97.5,0.04,181.27
Gold Coast Mk4,4217,1760490000,2025-10-15 11:00:00,-27.96477,153.43874,0.99,1.7,10.53,4.72,20.94,115.17,0.05,234.99
Gold Coast Mk4,4217,1760491800,2025-10-15 11:30:00,-27.96485,153.43874,1.0,1.66,11.76,4.6,21.16,118.07,0.1,205.36
Gold Coast Mk4,4217,1760493600,2025-10-15 12:00:00,-27.96495,153.4388,0.98,1.55,8.33,4.43,21.16,93.2,0.14,211.6
Gold Coast Mk4,4217,1760495400,2025-10-15 12:30:00,-27.965,153.43882,1.02,1.75,11.11,4.5,21.16,119.39,0.17,211.43
Gold Coast Mk4,4217,1760497200,2025-10-15 13:00:00,-27.96501,153.43884,0.95,1.55,11.11,4.37,21.3,122.65,0.18,204.66
Gold Coast Mk4,4217,1760499000,2025-10-15 13:30:00,-27.96504,153.43889,1.03,1.59,9.09,4.36,21.21,94.43,0.17,190.42
Gold Coast Mk4,4217,1760500800,2025-10-15 14:00:00,-27.96504,153.43891,1.0,1.53,10.0,4.48,21.21,117.37,0.08,181.1
Gold Coast Mk4,4217,1760502600,2025-10-15 14:30:00,-27.96507,153.43893,0.96,1.69,10.53,4.44,21.21,119.75,0.1,153.23
Gold Coast Mk4,4217,1760504400,2025-10-15 15:00:00,-27.96509,153.43895,0.95,1.55,11.11,4.4,21.16,123.17,0.13,168.18
Gold Coast Mk4,4217,1760506200,2025-10-15 15:30:00,-27.96507,153.43897,0.92,1.62,10.0,4.37,21.12,113.68,0.11,178.46
Gold Coast Mk4,4217,1760508000,2025-10-15 16:00:00,-27.9651,153.43899,0.94,1.46,9.52,4.28,21.08,111.22,0.07,173.89
Gold Coast Mk4,4217,1760509800,2025-10-15 16:30:00,-27.96509,153.43902,0.97,1.66,9.52,4.3,21.08,106.21,0.11,160.62
Gold Coast Mk4,4217,1760511600,2025-10-15 17:00:00,-27.96509,153.43902,0.92,1.59,10.0,4.24,20.99,106.03,0.11,188.75
Gold Coast Mk4,4217,1760513400,2025-10-15 17:30:00,-27.96512,153.43908,0.93,1.62,10.0,4.26,20.94,110.95,0.08,181.71
Gold Coast Mk4,4217,1760515200,2025-10-15 18:00:00,-27.96512,153.43912,0.91,1.43,10.0,4.32,20.85,114.82,0.11,192.53
Gold Coast Mk4,4217,1760517000,2025-10-15 18:30:00,-27.96515,153.43917,0.87,1.42,9.52,4.33,20.85,111.92,0.15,145.32
Gold Coast Mk4,4217,1760518800,2025-10-15 19:00:00,-27.96513,153.43917,0.88,1.3,10.53,4.31,21.08,122.65,0.15,178.64
Gold Coast Mk4,4217,1760520600,2025-10-15 19:30:00,-27.96513,153.43914,0.87,1.41,10.0,4.23,21.08,111.31,0.15,166.68
