Wave Data provided @ 08:21hrs on 22-10-2025
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction, Current Speed, Current Direction
Caloundra,54,1760450400,2025-10-15T00:00:00,-26.84626,153.15568,0.845,1.400,8.330,4.598,23.50,78.80,-99.90,-99.90
Caloundra,54,1760452200,2025-10-15T00:30:00,-26.84628,153.15564,0.835,1.400,9.090,4.819,23.50,78.80,-99.90,-99.90
Caloundra,54,1760454000,2025-10-15T01:00:00,-26.84633,153.15553,0.843,1.340,8.330,4.938,23.45,90.00,-99.90,-99.90
Caloundra,54,1760455800,2025-10-15T01:30:00,-26.84642,153.15547,0.840,1.450,10.530,4.878,23.40,113.90,-99.90,-99.90
Caloundra,54,1760457600,2025-10-15T02:00:00,-26.84654,153.15542,0.870,1.570,11.760,4.878,23.45,109.70,-99.90,-99.90
Caloundra,54,1760459400,2025-10-15T02:30:00,-26.84672,153.15542,0.810,1.270,10.530,5.063,23.45,111.10,-99.90,-99.90
Caloundra,54,1760461200,2025-10-15T03:00:00,-26.84691,153.15544,0.792,1.220,10.530,5.128,23.45,119.50,-99.90,-99.90
Caloundra,54,1760463000,2025-10-15T03:30:00,-26.84698,153.15549,0.798,1.360,11.110,4.878,23.40,108.30,-99.90,-99.90
Caloundra,54,1760464800,2025-10-15T04:00:00,-26.84700,153.15555,0.781,1.220,11.760,5.000,23.45,123.80,-99.90,-99.90
Caloundra,54,1760466600,2025-10-15T04:30:00,-26.84700,153.15555,0.774,1.270,11.110,5.128,23.45,118.10,-99.90,-99.90
Caloundra,54,1760468400,2025-10-15T05:00:00,-26.84699,153.15555,0.780,1.110,9.090,4.938,23.45,95.60,-99.90,-99.90
Caloundra,54,1760472000,2025-10-15T06:00:00,-26.84684,153.15551,0.727,1.380,9.090,5.195,23.45,92.80,-99.90,-99.90
Caloundra,54,1760473800,2025-10-15T06:30:00,-26.84656,153.15557,0.780,1.140,11.110,5.195,23.45,111.10,-99.90,-99.90
